id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,59,2,1,1,1
2,85,1,3,0,1
3,132,4,3,1,1
4,65,4,4,0,1
5,237,2,5,1,1
6,55,2,5,0,1
7,64,2,6,0,1
8,48,4,6,1,1
9,64,2,7,1,1
10,122,1,7,0,1
11,88,4,9,1,1
12,258,2,9,1,1
13,121,1,10,0,1
14,52,2,10,0,1
15,254,1,13,0,1
16,275,1,14,0,1
17,123,4,15,1,1
18,32,4,16,1,1
19,73,3,18,1,1
20,115,1,20,1,1
21,167,1,21,1,1
22,74,2,22,0,1
23,169,4,28,1,1
24,200,1,29,1,1
25,62,1,29,0,1
26,33,1,30,1,1
27,84,3,31,1,1
28,89,3,31,1,1
29,119,3,32,1,1
30,143,2,34,1,1
