id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,85,2,1,0,1
2,170,1,1,1,1
3,78,1,1,0,1
4,222,4,1,1,1
5,220,3,1,1,1
6,263,4,1,0,1
7,122,3,1,0,1
8,125,4,1,1,1
9,164,1,1,0,1
10,229,2,1,1,1
11,9,1,1,0,1
12,51,2,1,0,1
13,253,4,1,0,1
14,254,2,1,1,1
15,121,3,1,0,1
16,215,1,1,0,1
17,246,1,1,1,1
18,189,4,2,1,1
19,104,1,2,1,1
20,113,4,2,0,1
21,122,2,2,0,1
22,188,3,2,1,1
23,128,1,2,0,1
24,262,3,2,0,1
25,97,2,2,1,1
26,93,4,2,1,1
27,243,2,2,0,1
28,148,2,2,1,1
29,210,1,3,0,1
30,35,4,3,1,1
31,126,2,3,0,1
32,21,1,3,0,1
33,184,3,3,1,1
34,194,3,3,0,1
35,252,2,3,0,1
36,181,4,3,1,1
37,188,4,3,0,1
38,232,2,3,0,1
39,127,3,3,1,1
40,124,2,3,0,1
41,217,1,3,0,1
42,221,3,3,0,1
43,51,4,3,0,1
44,7,1,3,0,1
45,16,4,4,0,1
46,40,3,4,1,1
47,48,2,4,1,1
48,174,1,4,0,1
49,9,1,4,0,1
50,130,2,4,1,1
51,186,3,4,1,1
52,32,2,4,1,1
53,65,4,4,1,1
54,81,4,5,0,1
55,49,3,5,1,1
56,90,2,5,0,1
57,222,3,5,0,1
58,83,3,5,0,1
59,214,1,5,1,1
60,152,2,5,0,1
61,274,2,5,1,1
62,199,3,5,1,1
63,217,4,6,0,1
64,252,2,6,1,1
65,39,1,6,1,1
66,220,4,6,1,1
67,53,4,6,0,1
68,8,2,6,0,1
69,35,2,6,1,1
70,37,4,6,1,1
71,274,3,6,0,1
72,254,3,6,1,1
73,74,3,6,0,1
74,271,1,6,1,1
75,172,4,6,0,1
76,233,4,6,1,1
77,98,1,6,1,1
78,63,4,6,0,1
79,50,4,6,0,1
80,153,1,7,0,1
81,72,3,7,1,1
82,86,3,7,1,1
83,5,2,7,1,1
84,163,3,7,1,1
85,265,4,7,0,1
86,238,3,8,1,1
87,3,3,8,1,1
88,177,2,8,0,1
89,100,4,8,1,1
90,32,2,8,0,1
91,149,3,8,0,1
92,115,4,8,0,1
93,142,2,8,1,1
94,249,2,9,1,1
95,42,3,9,1,1
96,121,2,9,0,1
97,17,1,9,0,1
98,106,3,9,0,1
99,199,1,9,0,1
100,27,2,9,1,1
101,183,1,9,0,1
102,81,4,9,0,1
103,163,3,9,1,1
104,43,4,10,0,1
105,122,2,10,0,1
106,4,4,10,1,1
107,64,2,10,1,1
108,73,4,10,1,1
109,141,4,10,1,1
110,59,2,10,1,1
111,95,3,10,1,1
112,204,3,10,0,1
113,113,4,10,0,1
114,16,1,10,1,1
115,105,1,10,1,1
116,133,4,11,1,1
117,231,1,11,1,1
118,85,1,11,0,1
119,228,3,11,0,1
120,157,2,11,0,1
121,15,4,11,0,1
122,72,4,11,1,1
123,161,4,11,0,1
124,131,2,11,1,1
125,54,4,11,1,1
126,65,1,11,1,1
127,210,3,11,0,1
128,173,3,12,1,1
129,41,1,12,0,1
130,200,3,12,0,1
131,112,4,12,1,1
132,128,2,12,1,1
133,195,1,12,0,1
134,110,4,12,1,1
135,4,2,12,0,1
136,21,1,12,1,1
137,161,1,12,0,1
138,121,3,12,0,1
139,250,3,12,0,1
140,26,2,12,1,1
141,106,3,13,1,1
142,153,3,13,1,1
143,32,2,13,1,1
144,251,2,13,1,1
145,175,2,13,0,1
146,249,4,13,1,1
147,173,1,13,0,1
148,4,4,13,1,1
149,87,2,13,0,1
150,32,2,14,1,1
151,176,4,14,1,1
152,17,3,14,0,1
153,187,1,14,1,1
154,132,3,14,0,1
155,85,1,14,0,1
156,142,4,14,1,1
157,194,4,14,1,1
158,222,3,14,1,1
159,86,3,14,0,1
160,275,4,14,0,1
161,93,1,14,0,1
162,179,4,14,0,1
163,242,4,15,1,1
164,213,4,15,1,1
165,244,1,15,0,1
166,280,2,15,1,1
167,48,1,15,1,1
168,234,2,15,1,1
169,263,1,15,1,1
170,211,2,15,1,1
171,239,3,15,0,1
172,19,4,15,0,1
173,175,2,15,1,1
174,88,3,15,0,1
175,172,4,15,1,1
176,235,4,15,1,1
177,100,3,15,0,1
178,215,4,16,1,1
179,47,1,16,0,1
180,145,4,16,0,1
181,174,2,16,1,1
182,198,1,16,0,1
183,85,4,16,0,1
184,73,2,16,0,1
185,251,1,16,0,1
186,173,1,17,1,1
187,26,4,17,1,1
188,175,3,17,0,1
189,54,4,17,1,1
190,215,4,17,1,1
191,238,3,17,1,1
192,92,4,17,1,1
193,37,2,17,0,1
194,209,4,17,1,1
195,87,4,17,1,1
196,69,2,17,1,1
197,57,1,18,1,1
198,20,4,18,1,1
199,154,1,18,1,1
200,112,3,18,0,1
201,208,2,18,0,1
202,134,3,18,0,1
203,106,1,18,0,1
204,17,3,18,0,1
205,59,3,18,1,1
206,148,1,18,1,1
207,111,2,18,1,1
208,243,4,18,1,1
209,16,1,18,0,1
210,119,2,18,0,1
211,144,3,18,0,1
212,36,2,18,0,1
213,152,4,19,0,1
214,240,3,19,0,1
215,56,1,19,0,1
216,44,3,19,0,1
217,17,4,19,0,1
218,182,3,19,0,1
219,6,4,19,1,1
220,80,4,19,0,1
221,265,4,19,1,1
222,208,1,19,0,1
223,66,1,19,0,1
224,191,1,20,1,1
225,39,1,20,1,1
