id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,189,4,1,1,1
2,121,1,2,0,1
3,127,1,2,1,1
4,170,1,2,0,1
5,17,2,3,0,1
6,89,1,4,1,1
7,216,4,4,0,1
8,196,1,5,1,1
9,35,1,5,1,1
10,37,2,5,1,1
11,26,2,7,1,1
12,3,1,7,0,1
13,118,4,7,1,1
14,182,2,7,1,1
15,200,2,7,1,1
16,149,1,8,0,1
17,31,2,8,0,1
18,177,1,11,0,1
19,36,3,11,1,1
20,38,4,11,1,1
21,28,3,11,1,1
22,40,1,12,0,1
23,47,1,12,0,1
24,55,4,12,0,1
25,89,4,13,1,1
26,280,3,13,0,1
27,61,1,14,0,1
28,71,4,15,1,1
29,251,2,16,0,1
30,197,2,17,1,1
31,156,3,17,0,1
32,52,1,17,0,1
33,60,1,18,1,1
34,22,3,19,0,1
35,255,3,19,0,1
36,198,3,20,0,1
37,156,3,20,1,1
38,88,3,21,0,1
39,47,4,23,0,1
40,175,2,24,0,1
41,276,3,24,0,1
42,48,3,25,1,1
43,73,2,26,0,1
44,111,1,26,1,1
45,21,4,27,1,1
46,191,2,27,0,1
47,113,3,28,1,1
48,276,3,29,1,1
49,113,1,30,0,1
50,174,1,30,1,1
51,44,3,31,0,1
52,107,2,31,1,1
53,46,4,32,0,1
54,212,4,32,0,1
55,243,3,32,1,1
56,99,1,33,0,1
57,192,1,33,1,1
58,83,1,35,0,1
59,149,4,35,0,1
60,232,4,35,0,1
