id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,211,3,1,1,1
2,104,3,2,0,1
3,263,2,2,0,1
4,5,4,2,1,1
5,230,3,2,0,1
6,176,4,3,0,1
7,151,4,4,0,1
8,182,2,4,0,1
9,203,3,4,1,1
10,27,2,5,1,1
11,245,3,5,0,1
12,5,4,6,0,1
13,83,3,6,1,1
14,51,1,6,0,1
15,257,4,6,1,1
16,19,1,6,1,1
17,163,2,7,1,1
18,178,3,7,1,1
19,183,4,8,0,1
20,242,2,8,1,1
21,16,3,8,1,1
22,229,4,9,1,1
23,148,1,9,1,1
24,194,1,9,1,1
25,59,1,9,0,1
26,153,2,10,1,1
27,197,2,10,1,1
28,268,4,11,0,1
29,125,1,11,0,1
30,24,3,12,1,1
31,16,1,12,0,1
32,175,4,12,1,1
33,221,1,12,1,1
34,194,3,13,1,1
35,97,4,13,1,1
36,266,2,14,0,1
37,146,1,14,0,1
38,268,1,15,1,1
39,21,2,15,1,1
40,58,2,15,1,1
41,215,1,15,1,1
42,253,4,15,1,1
43,216,3,15,1,1
44,83,4,16,0,1
45,43,2,16,1,1
46,238,4,17,1,1
47,219,1,17,0,1
48,76,3,18,1,1
49,64,4,19,1,1
50,90,1,19,0,1
51,231,4,19,1,1
52,228,4,19,0,1
53,160,4,20,0,1
54,280,3,20,0,1
55,81,4,21,0,1
56,196,2,21,0,1
57,223,1,22,1,1
58,124,2,22,0,1
59,125,3,22,0,1
60,129,4,22,0,1
61,78,2,22,1,1
62,186,2,22,0,1
63,254,4,24,1,1
64,280,3,24,1,1
65,210,4,25,1,1
66,73,1,25,0,1
67,194,4,26,1,1
68,37,3,26,1,1
69,35,1,26,0,1
70,54,2,27,0,1
71,41,2,27,0,1
72,163,3,27,1,1
73,21,4,27,0,1
74,227,1,27,1,1
75,199,4,27,1,1
76,254,4,27,1,1
77,138,2,29,0,1
78,183,2,29,0,1
79,248,3,29,1,1
80,150,3,29,0,1
81,78,3,29,0,1
82,274,4,30,0,1
83,11,2,30,0,1
84,91,2,30,1,1
85,270,4,30,1,1
86,101,3,30,1,1
87,87,4,31,1,1
88,34,2,31,0,1
89,255,3,31,0,1
90,38,3,32,0,1
91,93,4,32,1,1
92,250,1,32,1,1
93,140,3,33,0,1
94,172,3,33,0,1
95,164,1,34,0,1
96,195,4,34,1,1
97,9,4,35,1,1
98,148,2,35,0,1
99,280,4,35,0,1
100,230,1,35,0,1
