id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,273,2,1,1,1
2,213,1,1,1,1
3,280,1,1,0,1
4,57,4,1,0,1
5,9,3,2,1,1
6,45,2,2,0,1
7,202,1,3,0,1
8,218,3,4,1,1
9,180,1,4,1,1
10,95,3,6,1,1
11,184,1,7,0,1
12,13,2,7,1,1
13,243,2,8,0,1
14,29,1,9,0,1
15,266,1,10,0,1
16,106,1,10,1,1
17,38,4,11,0,1
18,88,3,11,0,1
19,252,1,12,1,1
20,218,4,12,0,1
21,54,1,12,0,1
22,49,4,13,0,1
23,250,4,13,0,1
24,215,2,13,1,1
25,220,2,13,1,1
26,60,1,14,1,1
27,54,2,14,0,1
28,182,2,15,0,1
29,32,4,15,1,1
30,142,2,16,0,1
31,192,4,16,0,1
32,44,1,16,0,1
33,104,2,16,1,1
34,224,2,16,1,1
35,255,3,17,0,1
36,45,2,17,0,1
37,207,1,19,1,1
38,156,2,19,0,1
39,53,3,19,1,1
40,192,1,19,1,1
41,84,1,20,0,1
42,178,4,21,1,1
43,67,3,22,1,1
44,137,4,22,1,1
45,211,1,22,1,1
46,172,1,22,0,1
47,70,2,23,0,1
48,183,1,23,0,1
49,92,3,23,1,1
50,34,4,23,1,1
51,184,3,24,0,1
52,266,4,25,0,1
53,236,3,26,1,1
54,41,3,27,1,1
55,192,3,27,1,1
56,185,4,27,0,1
57,143,1,28,0,1
58,122,3,28,1,1
59,108,1,29,1,1
60,236,1,30,1,1
61,70,4,30,0,1
62,82,3,30,1,1
63,156,1,30,1,1
64,173,4,30,1,1
65,126,4,31,0,1
66,242,4,31,0,1
67,268,2,33,1,1
68,228,3,33,1,1
69,201,1,33,0,1
70,34,4,33,0,1
